Shannon,Fisher,Fisher',GBP,E2,E3,R2,R3,G1,G2,G3,iso,aniso
4.0693,451.5751,450.7439,59.7981,81.2264,7003.4949,8.5939,9.0443,1.2137,-5.0826,3.158,281.015,28.1665
4.2941,451.4749,451.2612,60.2915,81.2245,7003.9208,8.5185,8.905,1.1322,-5.0468,3.1243,283.05,46.8804
4.3467,451.216,451.3074,60.5372,81.2187,7001.0026,8.529,8.9175,1.248,-5.1646,3.2338,264.6266,36.2687
4.378,451.2423,451.3847,60.6124,81.223,7001.9296,8.5302,8.9175,1.2504,-5.1513,3.2363,257.6291,45.5898
4.2752,451.5485,451.4491,60.1879,81.2236,7003.7076,8.5012,8.8829,1.0477,-5.0416,3.149,289.7164,42.9562
4.0808,451.5537,450.7221,59.8208,81.2254,7003.0665,8.5874,9.0298,1.2528,-5.0632,3.0671,280.5248,29.5108
4.1127,451.5418,450.7378,59.8835,81.2263,7002.9154,8.59,9.0299,1.2663,-5.1041,3.0745,280.1389,31.4637
4.0507,451.5336,450.6695,59.7857,81.2268,7003.3652,8.5887,9.0352,1.2163,-5.0887,3.1731,278.5745,26.7678
4.3299,451.189,451.2555,60.5075,81.2164,7000.5299,8.5245,8.9136,1.2053,-5.2092,3.3257,265.4311,25.3041
4.2565,451.5473,451.3838,60.1567,81.223,7003.7043,8.5003,8.8799,1.063,-5.0137,3.1111,288.342,41.4543
4.3473,451.2922,451.4056,60.4956,81.2219,7001.6695,8.5392,8.9375,1.2049,-5.1678,3.2938,268.6014,35.814
4.3129,451.4337,451.2714,60.3614,81.2237,7003.6825,8.5077,8.8873,1.1281,-5.0707,3.1765,276.7808,42.5453
4.0744,451.4711,450.6029,59.8564,81.2248,7002.6535,8.5887,9.0366,1.2622,-5.1168,3.1492,275.0579,25.4964
4.3507,451.2335,451.3568,60.5313,81.2206,7001.1937,8.5389,8.9379,1.2163,-5.1993,3.3306,266.2804,34.2995
4.3452,451.2896,451.3983,60.4962,81.2222,7001.8058,8.5441,8.9484,1.2126,-5.1755,3.2944,267.1391,29.9186
4.3243,451.4499,451.2582,60.3788,81.2256,7004.1817,8.5165,8.8993,1.1476,-5.0681,3.1332,277.4235,45.2993
4.086,451.5459,450.7408,59.8233,81.2227,7002.5473,8.5872,9.0349,1.2285,-5.1182,3.1225,282.6488,29.2942
4.3467,451.1825,451.2657,60.5469,81.2177,7000.6158,8.5359,8.932,1.26,-5.1959,3.2574,264.1288,32.8637
4.3476,451.1683,451.2601,60.5546,81.2169,7000.4106,8.5338,8.9272,1.2597,-5.1907,3.2673,263.6464,33.2514
4.1369,451.6969,450.9189,59.8495,81.2248,7003.6832,8.6079,9.0596,1.2155,-5.0792,3.0921,288.1636,34.1162
4.0938,451.5376,450.7259,59.8435,81.2228,7002.5301,8.5896,9.0357,1.2303,-5.1182,3.1499,281.3892,28.6787
4.2946,451.4599,451.2552,60.2955,81.2229,7003.5642,8.5104,8.8916,1.1306,-5.05,3.1171,281.5729,42.3112
4.0604,451.457,450.6148,59.8162,81.2211,7001.8053,8.5724,9.004,1.2199,-5.1309,3.1903,278.558,26.9327
4.3059,451.4911,451.318,60.3085,81.2253,7004.1193,8.5143,8.8984,1.1197,-5.0434,3.141,281.7577,44.8679
4.3256,451.2497,451.2989,60.4739,81.2188,7001.3448,8.5412,8.9414,1.2394,-5.1541,3.2284,267.2747,36.6616
4.3256,451.2481,451.2986,60.4747,81.2188,7001.3239,8.5409,8.9408,1.2393,-5.1544,3.229,267.2447,36.6719
4.0595,451.5482,450.7174,59.7861,81.2243,7003.0021,8.5878,9.0352,1.2094,-5.0918,3.1587,281.606,27.5956
4.3259,451.2491,451.3286,60.4622,81.2169,7001.0229,8.5373,8.9378,1.1941,-5.1849,3.3185,269.8658,34.5414
4.3259,451.2476,451.3268,60.4628,81.2168,7001.004,8.5373,8.9377,1.1946,-5.1857,3.319,269.8175,34.5107
4.0602,451.5478,450.7185,59.7874,81.2242,7002.9932,8.5877,9.0351,1.2097,-5.0913,3.1594,281.6045,27.6198
4.2947,451.4826,451.2636,60.2947,81.2256,7004.1594,8.5209,8.9089,1.135,-5.0467,3.1217,282.8888,48.0599
4.2952,451.4837,451.2667,60.2955,81.2257,7004.1762,8.521,8.9089,1.1345,-5.0476,3.1211,282.8623,48.0238
4.2949,451.4834,451.2645,60.295,81.2257,7004.1743,8.5211,8.9092,1.1351,-5.0469,3.1213,282.8749,48.0983
4.0595,451.5482,450.7171,59.786,81.2243,7003,8.5878,9.0351,1.2095,-5.091,3.1593,281.6026,27.5263
4.3252,451.2499,451.2985,60.4731,81.2188,7001.3451,8.5412,8.9413,1.2392,-5.1536,3.2286,267.3054,36.6328
4.3254,451.2481,451.2981,60.4744,81.2188,7001.3339,8.5409,8.9408,1.2391,-5.155,3.2292,267.2268,36.6589
4.2951,451.4843,451.2665,60.2951,81.2257,7004.1872,8.5211,8.9091,1.1348,-5.0458,3.1216,282.8767,48.0679
4.0598,451.5477,450.7179,59.787,81.2243,7003.0061,8.5878,9.0353,1.2097,-5.0915,3.1591,281.5608,27.5486
4.3257,451.2483,451.3268,60.4622,81.2168,7001.013,8.5373,8.9378,1.1945,-5.1849,3.3189,269.8524,34.5601
